"random_name"|"redacted_mission_text"|"State/Province"|"Country"|"Social Sector"|"Tech Sector"|"redacted_situation_text"
"AAERV"|"The AAERV delivers exceptional learning opportunities and educational services for diverse student populations in Chicago. We enhance knowledge, understanding, skills, collaboration, community service and lifelong
learning by providing a broad range of quality, affordable courses, programs, and services to prepare students
for success in a technologically advanced and increasingly interdependent global society. We work proactively to
eliminate barriers to employment and to address and overcome causal factors underlying socio-economic disparities
and inequities of access and graduation in higher education"|"Illinois-IL"|"USA"|"x"||"We are recruiting Networking Technology professionals to be guest speakers for college students who are interested in pursuing careers in IT but who may have had little exposure to the actual duties, skills, and knowledge necessary to work in this field.  
 
Each guest speaker will give a 20-minute presentation to provide students with an industry overview, as well as specifics related to job duties, typical working hours, skills needed for success, and the speaker s own experiences and opinions about working in this field. 

Our students tend to be very visual and tactile learners, so we encourage guest speakers to prepare presentations which actively engage the audience, rather than a giving a formal lecture.  We welcome the use of PowerPoints, videos, and other media.  

Each IT professional will be paired with a guest speaker working in another IT-related area, and after both speakers have given their presentations the students will then have an opportunity to ask questions.  Each guest speaker panel will take approximately one hour and twenty minutes, and the audience size will range from 15-25 students.

We are looking for guest speakers at 6 of our colleges: Harold Washington, Daley, Olive-Harvey, Kennedy-King, Wright, and Truman.  We have a variety of dates and times available, ranging from 10/27 – 11/21 and from 8:00am to 5:30pm.  Locations, dates, and times are flexible."
"AENMP"|"AENMP (P2G) provides students with the preparation and tools needed for a successful future by helping them earn their High School Equivalency Diploma."|"New York-NY"|"USA"|"x"||"Dear NYC Area Technology Professionals, NYC Department of
Education s District 79 works with dynamic, resilient young people ages
17-21 pursuing High School Equivalency Diplomas. Our students were
formerly disconnected with school and employment, but are have
recommitted to continuing their education and entering the world of work!
In addition to academic instruction, it is critically important to connect
students with professional role models in diverse career fields. We already
work with partner organizations including the New York Times, the New
York City Council, the MTA, New York Botanical Garden, Habitat for
Humanity and CUNY. However, we have a HUGE need for professionals
in technology to enrich our students  learning! I am looking for
technology professionals to visit two of our IT training classrooms at
Coop Tech on February 5th and March 5th. Guest speakers will: Share
their own career path, education and experiences Answer student
questions about their work Share any resources helpful to entry-level IT
job seekers Help to motivate, inspire, and encourage our students Think
you re right for the job? I would love to hear from you! I know you ll
enjoy meeting our students! 
Jillian Maclearie, MSW Workforce
Development Coordinator Cell- 347-406-3242 Office- 212-244-1274 x.
7038 Fax- 212- 609-8598 AENMP, District 79: Alternative
Schools and Programs NYC Department of Education"
"AKEVG"|"We prepare students to succeed in college and the world by offering high-quality, college-prep, STEM education."|"IL"|"USA"|"x"||"CMSA needs  engineers to help motivate and inspire our students in the robotics teams and pre-engineering classes. 
Here is the time breakdown in terms of grades and class times:
9:00am-9:50am (sophomore students)
10:50am-11:35am (sophomores again)
11:38am-12:20pm (freshmen)
12:55pm-1:45pm (8th grade students)"
"ALFHV"|"Empowering Students Universally (ESU) Scholars, Incorporated's mission is to increase college by empowering students and parents. Our goal is to equip students and parents with information that will empower student to make informed decisions about careers,self image, spiritual growth and family unity.The ESU Scholars program is an career and college preparation series for youth in grades sixth through twelve."|"TN"|"USA"|"x"||"The ESU Scholars program is an early intervention career and college preparation series for youth in grades sixth through twelve.
 
Through innovative action research, facilitated workshops and culminating projects, students are guided to critical information that helps them think critically about their current and future educational options.  Career, college, and financial knowledge are infused in every project we do.

We need guest speakers to come in on Saturday afternoons to talk to students about their careers in science, technology, engineering, math, marketing or finance. 

We typically hold our programs in a library or nearby center on Saturdays from 2-4 pm but times and locations may vary. If you feel like you have something to share with young people about your path to professional success we want you!"
"AMOBB"|"AMOBB catalyzes Chicago's nonprofit community to do more good work by increasing the capacity of charitable organizations to more effectively fulfill their missions through technological and financial assistance and solutions, Providing leadership in digital literacy and education programs to improve the socio-economic conditions of lower-income individuals and families, Connecting Chicago's corporate, philanthropic, and government leadership to the issues and needs confronting nonprofit organizations, Defining a brighter future through thought leadership, resources, and education for the broader nonprofit community"|"IL"|"USA"|"x"||"AMOBB, established in 1984, provides technology and finance services and solutions, training, and Chicago s most active and affordable nonprofit job board NPO.net to nonprofits.

We are looking for speakers to join our exciting STEM Talks program.  The program works with STEM professionals to find and hone their story (career and/or personal) in a way that will be applicable and inspirational to CPS students.  

If you are interested in becoming a STEM Talks speaker, you will work with our coach to find, draft, rehearse and perfect your 15 minute story (and public speaking skills), and ultimately deliver it to Chicago Public School students in a classroom setting.

The program is self paced, but requires regular communication with the coach.  The average time start to finish is 6 weeks.

This is a great opportunity to make a difference, just by sharing your story.  Start your journey towards inspiring students by signing up today!"
"AMVCE"|"The Mission of Girls Inc. of New York City is to advocate for and improve the lives of under-served girls aged 6 to18 in the five boroughs. We pursue this mission by providing gender-based educational programs in the areas of math; science; health and safety; financial literacy; and multicultural appreciation. We provide programs directly or in partnership with other organizations. As an independent affiliate of the Girls Inc. national organization, our commitment is to inspire all girls to be strong, smart and boldsm!"|"NY"|"USA"|"x"||"We are looking for Women with careers in STEM to participate as guest speakers for girls participating in Generation Giga Girls (G3). 

G3 is a one to two year, project based Data Analytics program focused on building girls  skills in mathematics,critical thinking, and technology. The program is designed to increase the interest of girls ages 14-17 entering the exciting new field of data analytics!"
"ARVNN"|"The Bronx Center for Science and Mathematics is committed to providing a superior educational experience to public school children. The school values a holistic approach to educating children. The Bronx Center for Science and Mathematics will meet the emotional, intellectual and social needs of all students through a strategic support structure consisting of faculty, students, parents, and the community. The foundation of the Bronx Center for Science and Mathematics rests on Seven Core Virtues that will prepare our students for citizenship: Respect, Integrity, Honor, Excellence, Commitment, Perseverance, and Service."|"NY"|"USA"|"x"||"We are initiating a Career Cafe, where we invite people from a variety of professions to visit classrooms and speak about their careers. We d love for volunteers to be able to work backwards: that is, discuss and describe how they ended up in their chosen career. Students want to put their education in context. So, it would be extremely useful for volunteers to discuss their own high school experience and how the preparation as a high school student prepared him or her or them for college and an eventual career. Since our school has a STEM focus, we are hoping to start with folks from any field related to science, technology, engineering, or math. Oh, and we ll serve lunch during one of the sessions!"
"AUIRV"|"For now, our new Museum and our Education programs are available for the public to experience and enjoy. We make our flyable aircraft available so people can re-live an important part of American and Michigan history"|"MI"|"USA"|"x"||"The AUIRV is a military aviation Museum located at historic Willow Run Airport in Belleville, MI. We are dedicated to honoring aviation history and its participants through a living, flying Museum. We are well known for our 3 vintage, flying World War II aircraft, the B-17 Yankee Lady, B-25 Yankee Warrior and C-47 Yankee Doodle Dandy. We also present our annual air show, Thunder Over Michigan. The AUIRV also offers educational programs, including scholarships and a free summer camp focusing on aviation and aerospace to the public.

We are in need of four, female mentors for our October 11 STEM event being held at our aviation museum. This will be a free program for female students, ages 7-14. We need female mentors to offer a brief presentation on their work in a STEM-related field. We will have hands-on activities and lab sessions. A select number of the female students will be invited to fly in private aircraft flown by female pilots! The event is limited to 100 girls. The volunteer mentors can have a lasting impact on the young ladies attending this event!"
"AVYWR"|"QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL is committed to providing quality career and technical education. Our school offers standards-based instruction in both academic and career and technical programs. Teaching and learning are delivered through an interdisciplinary approach and relate to real-life experiences. Graduates possess the skills and character to succeed in post-secondary environments."|"NY"|"USA"|"x"||"Queens Vocational & Technical High School is committed to preparing our students with the critical thinking, problem solving and team building skills necessary to meet the demands of a highly technical and ever expanding global economy. Our dual mission is to graduate students who are not only ready for post-secondary education, but who can also readily integrate into our work force as skilled, productive, contributing citizens. Therefore, here at AVYWR we offer our students vocational and technical trade courses that can serve as a beneficial purpose to both the student and future work force. Our students are prepared to succeed in and out of the New York City Department of Education.  

To further advance the students  Computer Technology & Networking skills, we are seeking a Work-Based Learning opportunity from your establishment, supporting 1 or more students, to come learn and apply their knowledge in the real-world of work.
11th and 12th grade (16-18 years old) students are required to complete 60 Work-Based Learning hours over the course of 2 years as they are preparing to take the CompTIA A+ Certification.  Students placed at your establishment will already be proficient in: 

•	Fundamentals of computer hardware
•	Fundamentals of computer software & operating systems 
•	Portable/mobile devices 
•	Printers/scanners
•	Networking & security 
•	Terminating RJ-45 cables 
•	Basic Electronics Technology (circuit analysis, electronic construction)

As a host for these students, your establishment will change these students  lives by helping them graduate with a CTE endorsed high school diploma, providing direct, real world, hands-on, experiences, professional development within their CTE major, and preparing individuals to be productive members of society.

Students are available immediately in the fall 2014 or in the spring 2015. Students can work on their days off, after-school, and weekends as needed.

Preliminary site visit will be conducted by QVTHS prior to student placement. Students are closely monitored and supported by the school to ensure a positive experience for all."
"AWNPW"|"AWNPW builds mentoring relationships that empower students from low-income communities to graduate high school, succeed in college, and achieve their ambitions."|"NY"|"USA"|"x"||"Currently, all communications between mentor and mentee pairs are reviewed by a case manager. These case managers ensure that messages exchanged follow the weekly topic that’s part of AWNPW’s curriculum. Reading each message is a very manual process, but necessary if the case manager needs to intervene and get the conversation back on track. AWNPW would like an automated way to identify conversations that are off topic and bring them to a case manager’s attention. In addition, a dashboard that displays high level trends and allows AWNPW to see how conversations progress across weeks would be really helpful. "
