except,learn,
learn,opportun,
educ,servic,
divers,student,
student,popul,
communiti,servic,
lifelong,learn,
prepar,student,
technolog,advanc,
work,proactiv,
higher,educ,
educ,pathway,
provid,student,
tool,need,
high,school,
school,equival,
prepar,student,
stem,educ,
empow,student,
student,univers,
's,mission,
empow,student,
equip,student,
will,empow,
empow,student,
make,inform,
inform,decis,
scholar,program,
's,nonprofit,
nonprofit,communiti,
good,work,
charit,organ,
provid,leadership,
educ,program,
lower-incom,individu,
need,confront,
confront,nonprofit,
nonprofit,organ,
broader,nonprofit,
nonprofit,communiti,
new,york,
provid,gender-bas,
gender-bas,educ,
educ,program,
provid,program,
program,direct,
nation,organ,
bronx,center,
superior,educ,
educ,experi,
public,school,
school,children,
school,valu,
educ,children,
bronx,center,
mathemat,will,
will,meet,
social,need,
strateg,support,
support,structur,
bronx,center,
will,prepar,
new,museum,
educ,program,
high,school,
provid,qualiti,
qualiti,career,
technic,educ,
school,offer,
technic,program,
real-lif,experi,
empow,student,
low-incom,communiti,
high,school,
inspir,children,
investig,skill,
support,children,
project-bas,scienc,
scienc,lesson,
help,make,
make,learn,
scienc,access,
help,children,
children,becom,
scienc,educ,
educ,non-profit,
power,scienc,
technolog,educ,
underprivileg,children,
children,creat,
creat,togeth,
onlin,learn,
learn,platform,
platform,children,
metropolitan,scienc,
scienc,center,
educ,student,
challeng,scienc,
scienc,program,
life-long,learn,
colleg,program,
local,communiti,
provid,resourc,
not-for-profit,organ,
organ,dedic,
food,bank,
food,glean,
build,communiti,
communiti,food,
food,system,
rmm,creat,
strengthen,food,
food,bank,
food,pantri,
rmm,support,
support,exist,
develop,food,
food,pantri,
nation,food,
food,network,
artadia,support,
support,visual,
local,communiti,
injur,children,
provid,servic,
special,need,
enabl,individu,
may,live,
help,communiti,
communiti,solv,
friend,provid,
innov,program,
program,promot,
uniqu,need,
special,need,
provid,holist,
child,develop,
life-skil,program,
children,chorus,
washington,provid,
music,experi,
young,peopl,
except,educ,
educ,program,
communiti,partnership,
provid,urgent,
urgent,need,
need,pediatr,
indig,children,
develop,countri,
wide,use,
use,solut,
elimin,food,
food,wast,
make,food,
food,rescu,
food,hunger,
allianc,mission,
communiti,charact,
scientif,data,
provid,holist,
child,develop,
life-skil,program,
individu,around,
arizona,scienc,
scienc,center,
center,mission,
