random_nam|redacted_mission_text|state/provinc|countri|social sector|tech sector|redacted_situation_text|
aaerv|the aaerv deliv except learn opportun and educ servic for divers student popul in chicago. we enhanc knowledg, understand, skill, collabor, communiti servic and lifelong learn by provid a broad rang of qualiti, afford cours, program, and servic to prepar student for success in a technolog advanc and increas interdepend global societi. we work proactiv to elimin barrier to employ and to address and overcom causal factor under socio-econom dispar and inequ of access and graduat in higher educ|illinois-il|usa|x||we are recruit network technolog profession to be guest speaker for colleg student who are interest in pursu career in it but who may have had littl exposur to the actual duti, skill, and knowledg necessari to work in this field. each guest speaker will give a 20-minut present to provid student with an industri overview, as well as specif relat to job duti, typic work hour, skill need for success, and the speaker s own experi and opinion about work in this field. our student tend to be veri visual and tactil learner, so we encourag guest speaker to prepar present which activ engag the audienc, rather than a give a formal lectur. we welcom the use of powerpoint, video, and other media. each it profession will be pair with a guest speaker work in anoth it-rel area, and after both speaker have given their present the student will then have an opportun to ask question. each guest speaker panel will take approxim one hour and twenti minut, and the audienc size will rang from 15-25 student. we are look for guest speaker at 6 of our colleg: harold washington, daley, olive-harvey, kennedy-k, wright, and truman. we have a varieti of date and time avail, rang from 10/27 – 11/21 and from 8:00am to 5:30pm. locat, date, and time are flexibl.|
aenmp|aenmp( p2g) provid student with the prepar and tool need for a success futur by help them earn their high school equival diploma.|new york-ni|usa|x||dear nyc area technolog profession, nyc depart of educ s district 79 work with dynam, resili young peopl age 17-21 pursu high school equival diploma. our student were former disconnect with school and employ, but are have recommit to continu their educ and enter the world of work! in addit to academ instruct, it is critic import to connect student with profession role model in divers career field. we alreadi work with partner organ includ the new york time, the new york citi council, the mta, new york botan garden, habitat for human and cuni. howev, we have a huge need for profession in technolog to enrich our student learn! i am look for technolog profession to visit two of our it train classroom at coop tech on februari 5th and march 5th. guest speaker will: share their own career path, educ and experi answer student question about their work share ani resourc help to entry-level it job seeker help to motiv, inspir, and encourag our student think you re right for the job? i would love to hear from you! i know you ll enjoy meet our student! jillian macleari, msw workforc develop coordin cell- 347-406-3242 office- 212-244-1274 x. 7038 fax- 212- 609-8598 aenmp, district 79: altern school and program nyc depart of educ|
akevg|we prepar student to succeed in colleg and the world by offer high-qual, college-prep, stem educ.|il|usa|x||cmsa need engin to help motiv and inspir our student in the robot team and pre-engin class. here is the time breakdown in term of grade and class time: 9:00am-9:50am( sophomor student) 10:50am-11:35am( sophomor again) 11:38am-12:20pm( freshmen) 12:55pm-1:45pm( 8th grade student)|
alfhv|empow student univers( esu) scholar, incorpor's mission is to increas colleg by empow student and parent. our goal is to equip student and parent with inform that will empow student to make inform decis about career, self imag, spiritu growth and famili unity.th esu scholar program is an career and colleg prepar seri for youth in grade sixth through twelv.|tn|usa|x||the esu scholar program is an earli intervent career and colleg prepar seri for youth in grade sixth through twelv. through innov action research, facilit workshop and culmin project, student are guid to critic inform that help them think critic about their current and futur educ option. career, colleg, and financi knowledg are infus in everi project we do. we need guest speaker to come in on saturday afternoon to talk to student about their career in scienc, technolog, engin, math, market or financ. we typic hold our program in a librari or nearbi center on saturday from 2-4 pm but time and locat may vari. if you feel like you have someth to share with young peopl about your path to profession success we want you!|
amobb|amobb catalyz chicago's nonprofit communiti to do more good work by increas the capac of charit organ to more effect fulfil their mission through technolog and financi assist and solut, provid leadership in digit literaci and educ program to improv the socio-econom condit of lower-incom individu and famili, connect chicago's corpor, philanthrop, and govern leadership to the issu and need confront nonprofit organ, defin a brighter futur through thought leadership, resourc, and educ for the broader nonprofit communiti|il|usa|x||amobb, establish in 1984, provid technolog and financ servic and solut, train, and chicago s most activ and afford nonprofit job board npo.net to nonprofit. we are look for speaker to join our excit stem talk program. the program work with stem profession to find and hone their stori( career and/or person) in a way that will be applic and inspir to cps student. if you are interest in becom a stem talk speaker, you will work with our coach to find, draft, rehears and perfect your 15 minut stori( and public speak skill), and ultim deliv it to chicago public school student in a classroom set. the program is self pace, but requir regular communic with the coach. the averag time start to finish is 6 week. this is a great opportun to make a differ, just by share your stori. start your journey toward inspir student by sign up today!|
amvc|the mission of girl inc. of new york citi is to advoc for and improv the live of under-serv girl age 6 to18 in the five borough. we pursu this mission by provid gender-bas educ program in the area of math; scienc; health and safeti; financi literaci; and multicultur appreci. we provid program direct or in partnership with other organ. as an independ affili of the girl inc. nation organ, our commit is to inspir all girl to be strong, smart and boldsm!|ny|usa|x||we are look for women with career in stem to particip as guest speaker for girl particip in generat giga girl( g3). g3 is a one to two year, project base data analyt program focus on build girl skill in mathemat, critic think, and technolog. the program is design to increas the interest of girl age 14-17 enter the excit new field of data analyt!|
arvnn|the bronx center for scienc and mathemat is commit to provid a superior educ experi to public school children. the school valu a holist approach to educ children. the bronx center for scienc and mathemat will meet the emot, intellectu and social need of all student through a strateg support structur consist of faculti, student, parent, and the communiti. the foundat of the bronx center for scienc and mathemat rest on seven core virtu that will prepar our student for citizenship: respect, integr, honor, excel, commit, persever, and servic.|ny|usa|x||we are initi a career cafe, where we invit peopl from a varieti of profess to visit classroom and speak about their career. we d love for volunt to be abl to work backward: that is, discuss and describ how they end up in their chosen career. student want to put their educ in context. so, it would be extrem use for volunt to discuss their own high school experi and how the prepar as a high school student prepar him or her or them for colleg and an eventu career. sinc our school has a stem focus, we are hope to start with folk from ani field relat to scienc, technolog, engin, or math. oh, and we ll serv lunch dure one of the session!|
auirv|for now, our new museum and our educ program are avail for the public to experi and enjoy. we make our flyabl aircraft avail so peopl can re-liv an import part of american and michigan histori|mi|usa|x||the auirv is a militari aviat museum locat at histor willow run airport in bellevill, mi. we are dedic to honor aviat histori and it particip through a live, fli museum. we are well known for our 3 vintag, fli world war ii aircraft, the b-17 yanke ladi, b-25 yanke warrior and c-47 yanke doodl dandi. we also present our annual air show, thunder over michigan. the auirv also offer educ program, includ scholarship and a free summer camp focus on aviat and aerospac to the public. we are in need of four, femal mentor for our octob 11 stem event be held at our aviat museum. this will be a free program for femal student, age 7-14. we need femal mentor to offer a brief present on their work in a stem-rel field. we will have hands-on activ and lab session. a select number of the femal student will be invit to fli in privat aircraft flown by femal pilot! the event is limit to 100 girl. the volunt mentor can have a last impact on the young ladi attend this event!|
avywr|queen vocat and technic high school is commit to provid qualiti career and technic educ. our school offer standards-bas instruct in both academ and career and technic program. teach and learn are deliv through an interdisciplinari approach and relat to real-lif experi. graduat possess the skill and charact to succeed in post-secondari environ.|ny|usa|x||queen vocat& technic high school is commit to prepar our student with the critic think, problem solv and team build skill necessari to meet the demand of a high technic and ever expand global economi. our dual mission is to graduat student who are not onli readi for post-secondari educ, but who can also readili integr into our work forc as skill, product, contribut citizen. therefor, here at avywr we offer our student vocat and technic trade cours that can serv as a benefici purpos to both the student and futur work forc. our student are prepar to succeed in and out of the new york citi depart of educ. to further advanc the student comput technolog& network skill, we are seek a work-bas learn opportun from your establish, support 1 or more student, to come learn and appli their knowledg in the real-world of work. 11th and 12th grade( 16-18 year old) student are requir to complet 60 work-bas learn hour over the cours of 2 year as they are prepar to take the comptia a+ certif. student place at your establish will alreadi be profici in: • fundament of comput hardwar • fundament of comput softwar& oper system • portable/mobil devic • printers/scann • network& secur • termin rj-45 cabl • basic electron technolog( circuit analysi, electron construct) as a host for these student, your establish will chang these student live by help them graduat with a cte endors high school diploma, provid direct, real world, hands-on, experi, profession develop within their cte major, and prepar individu to be product member of societi. student are avail immedi in the fall 2014 or in the spring 2015. student can work on their day off, after-school, and weekend as need. preliminari site visit will be conduct by qvths prior to student placement. student are close monitor and support by the school to ensur a posit experi for all.|
awnpw|awnpw build mentor relationship that empow student from low-incom communiti to graduat high school, succeed in colleg, and achiev their ambit.|ny|usa|x||current, all communic between mentor and mente pair are review by a case manag. these case manag ensur that messag exchang follow the week topic that part of awnpw curriculum. read each messag is a veri manual process, but necessari if the case manag need to interven and get the convers back on track. awnpw would like an autom way to identifi convers that are off topic and bring them to a case manag attent. in addit, a dashboard that display high level trend and allow awnpw to see how convers progress across week would be realli help.|
